Test Suite ID,Test Case ID,Priority,Module,Summary,Preconditions,Test data,Steps,Expected Result,Remarks
Функциональные проверки,,,,,,,,,
TS-01,TC-01,High,Форма авторизации,Успешная авторизация пользователя с ипользованием валидных данных и переход в личный кабинет,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"": ana@gmail.com
    
2. Поле ""Пароль"": 123qwer!
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин""
2. Введенное значение отображено в поле ""Пароль""
3. Пользователь авторизован в систему. Отображен личный кабинет пользователя",
TS-01,TC-02,High,Форма авторизации,Неуспешная авторизация пользователя с ипользованием невалидных данных,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"": ana@gmail.com
    
2. Поле ""Пароль"": 123123
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение невалидное значение в поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин""
2. Введенное значение отображено в поле ""Пароль""
3. Пользователь не авторизован в систему. Отображена ошибка: ""Неверный логин или пароль""",
TS-01,TC-03,High,Форма авторизации,Неуспешная авторизация незарегистрированного пользователя,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь не зарегистрирован в системе","1. Поле ""Логин"": anastasia@gmail.com
    
2. Поле ""Пароль"": 123!poiu
   ","1. Ввести значение не из тестовых данных в поле ""Логин""; 
2. Ввести значение не из тестовых данных в поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин""
2. Введенное значение отображено в поле ""Пароль""
3. Пользователь не авторизован в систему. Отображена ошибка: ""Пользователь не найден в системе""",
TS-01,TC-04,High,Форма авторизации,Неуспешная авторизация пользователя c незаполненными полями,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"": anastasia@gmail.com
    
2. Поле ""Пароль"": 123!poiu
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Оставить поле ""Пароль"" пустым;
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин""
2. Поле ""Пароль"" не заполнено
3. Пользователь не авторизован в систему. Отображена ошибка: ""Заполните все требуемые поля""",
TS-01,TC-05,High,Форма авторизации,Неуспешная авторизация заблокированного пользователя,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе
4. Пользователь заблокирован","1. Поле ""Логин"": anastasia21@gmail.com
    
2. Поле ""Пароль"": 123!lkjh
   ","1. Ввести значение не из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных в поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин""
2. Введенное значение отображено в поле ""Пароль""
3. Пользователь не авторизован в систему. Отображена ошибка: ""Пользователь заблокирован""",
Дополнительные проверки функций на форме авторизации,,,,,,,,,
TS-02,TC-06,High,Форма авторизации,"Успешный переход на страницу регистрации при клике по кнопке ""Нет аккаунта? Создать аккаунт""","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь не зарегистрирован в системе",-,"1. Кликнуть на кнопку ""Нет аккаунта? Создать аккаунт""",1. Происходит переход на страницу регистрации нового пользователя,
TS-02,TC-07,High,Форма авторизации,"Успешный переход на страницу восстановления пароля при клике по кнопке ""Забыли пароль?""","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе",-,"1. Кликнуть на кнопку ""Забыли пароль?""",1. Происходит переход на страницу восстановления пароля,
TS-02,TC-08,High,Форма авторизации,"Иконка ""Глазик"" по умолчанию в замаскированном виде и отображение значения пароля при нажатии на нее","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Пароль"":
   ","1. Ввести значение из тестовых данных в поле ""Пароль""
2. Нажать на кнопку ""Глазик""
3.Повторно нажать на кнопку ""Глазик""","1.Введенное значение отображено в поле ""Пароль"" в виде точек (пароль скрыт)
2. Пароль отображается, кнпока ""Глазик"" перечеркнута
3. Пароль скрыт, кнопка ""Глазик"" не перечеркнута",
Нефункциональные проверки,,,,,,,,,
Тестирование пользовательского интерфейса (2-3 проверки),,,,,,,,,
TS-03,ТС-09,Low,Форма авторизации,"Изменение цвета кнопки  ""Sign in"" при наведении курсора","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",-,"1. Навести курсор на кнопку ""Sign in""","1.Изменен цвет кнопки ""Sign in""
2.Курсор изменяется со стрелки на ручку",
TS-03,ТС-10,Medium,Форма авторизации,Исчезновение плейсхолдера при начале ввода данных,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",-,"1. Начать вводить в поле ""Логин"" и  ""Пароль""  данные
2.Удалить данные из поля ""Логин"" и ""Пароль""","1.Плейсхолдер исчез
2.После удаления введенных данных плейсхолдер появляется",
Тестирование производительности,,,,,,,,,
TS-03,ТС-11,High,Страницы формы авторизации,Скорость загрузки страницы менее 5 секунд,"Открыт сайт ""Название""",,"1.Открыть DevTools
2.Перейти на вкладку ""Perfomance""
3.Открыть страницу с формой авторизации пользователя
4.Посмотреть скорость загрузки страницы - ""Largest content paint""
",1. Скорость загрузки страницы менее 5 секунд,
Тестирование совместимости,,,,,,,,,
TS-03,ТС-12,Medium,Форма авторизации,Проверка совместимости в разных браузерах,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя","Yandex
Google Chrome
Edge
Mozilla Firefox","1. Проверить соответствие верстки макету
2.Провести функциональные проверки","1. Верстка не разъезжается
2.Функциональные проверки проходят успешно",
TS-03,ТС-13,Medium,Форма авторизации,Проверка соместимости в разных операционных системах,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя","Windows
Linux
Mac OS","1. Проверить соответствие верстки макету
2.Провести функциональные проверки",,
TS-03,ТС-14,Medium,Форма авторизации,Проверка совместимости разных рахрешений экрана,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя","1280×720 
1366×768
1920×1080
2560×1440 ","1. Проверить соответствие верстки макету
2.Провести функциональные проверки",,
TS-03,ТС-15,Medium,Форма авторизации,Проверка совместимости в разных мобильных операционных системах,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя","iOS
Android","1. Проверить соответствие верстки макету
2.Провести функциональные проверки",,
TS-03,ТС-16,Medium,Форма авторизации,Проверка совместимости в версии для планешета,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя","iOS
Android","1. Проверить соответствие верстки макету
2.Провести функциональные проверки",,
Тестирование безопасности,,,,,,,,,
TS-03,ТС-17,High,Форма авторизации,Неуспешная авторизация после смены пароля со старым паролем,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"": ana@gmail.com
2. Поле ""Пароль"": 123qwer!","1. Нажать на кнопку ""Забыли пароль?""
2. Ввести логин на странице восстановления пароля
3. Открыть электронную почту на которую зарегестрирован аккаунта
4. Сменить пароль
5. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести старое значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь не авторизован в систему. Отображается ошибка ""Неверный пароль""",
TS-03,ТС-18,High,Форма авторизации,При отправке пользователям ссылки на личный кабинет требуется пройти авторизацию заново,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"": ana@gmail.com
2. Поле ""Пароль"": 123qwer!","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""
4. Скопировать ссылку из адресной строки
5.Открыть новую вкладку в режиме инкогнито
6.В новой вкладке вставить ссылку в адресную строку",1. Отображается форма авторизации,
TS-03,ТС-19,High,Форма авторизации,Блокировка формы после 5 неудачных попыток ввода пароля,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"": ana@gmail.com
2. Поле ""Пароль"": 123qwer","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""
4. После появления ошибки повторить шаги 1-3 еще 4 раза","1. Форма авторизации заблокирована на 20 минут. Появляется сообщение ""Повторите попытку авторизации через 20 минут""",
TS-03,ТС-20,High,Форма авторизации,"Неуспешная авторизация при вводе sql-запроса в поле ""Логин""","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",Запрос: ' or 1=1 -- -,"1.Ввести в поле ""Логин"" sql-запрос","Пользователь не авторизован в систему. Появляется ошибка :""Введите корректный Логин или Пароль""",
Локализация,,,,,,,,,
TS-03,ТС-21,Medium,Форма авторизации,"Плейсхолдеры, названия полей, кнопок и форм не содержат грамматических и пунктуационных ошибок","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",-,"1.Обратить внимание на поля ввода
2.Посмотреть на кнопки
3.Проверить плейсхолдеры",Все элементы не содержат грамматических ошибок,
TS-03,ТС-22,Medium,Форма авторизации,Форма авторизации локализованна на русском языке,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",-,"1.Обратить внимание на поля ввода
2.Посмотреть на кнопки
3.Проверить плейсхолдеры",Текст переведен на русский язык,
Интернацианализация,,,,,,,,,
TS-03,ТС-23,Medium,Форма авторизации,Реализована возможность переключения языка на английский,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",-, Переключить язык на английский,Текст отображается на английском языке,
Тестирование удобства использования,,,,,,,,,
TS-03,ТС-24,Low,Форма авторизации,Отображение понятных сообщений об ошибке при вводе невалидных данных,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя","1. Поле ""Логин"": ana@gmail.com
2. Поле ""Пароль"": 123123
   ","1. Ввести несуществующий Логин
2. Ввести несуществующий Пароль","Отображается ошибка ""Неверный логин или пароль""",
TS-03,ТС-25,Medium,Форма авторизации,"Наличие меток у полей ""Логин"" и ""Пароль""","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",-,"1. Обратить внимание на наименование меток над полями  ""Логин"" и ""Пароль""","1.У поля ""Логин"" есть метка - Логин
2.У поля ""Пароль"" есть метка - Пароль",
TS-03,ТС-26,Medium,Форма авторизации,"Наличие плейсхолдеров внутри полей ""Логин"" и ""Пароль""","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",-,"1. Обратить внимание на плейсхолдеры в полях ""Логин"" и ""Пароль""","1.У поля ""Логин"" есть плейсхолдер - Введите логин
2.У поля ""Пароль"" есть плейсхолдер - Введите пароль",
Тестирование доступности,,,,,,,,,
TS-03,ТС-27,Medium,Форма авторизации,Успешная авторизация пользователя с помощью голосового ввода,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя","1. Поле ""Логин"": ana@gmail.com
2. Поле ""Пароль"": 123123
   ","1.Включить функцию голосового ввода
2.Продиктовать системе Логин из тестовых данных
3.Голосовой переход к полю ""Пароль""
4.Продиктовать системе Пароль из тестовых данных
5.Голосовое нажатие кнопки ""Sign in""","1. Введенное значение отображено в поле ""Логин""
2. Введенное значение отображено в поле ""Пароль""
3. Пользователь авторизован в систему. Отображен личный кабинет пользователя",
TS-03,ТС-28,Medium,Форма авторизации,Установка увеличенного шрифта,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",Размер увеличенного шрифта - 16пт,"Включить функцию ""Увеличенного шрифта""",Шрифт в форме увеличен,
